14	0.0391	0.5727	0.0534	2.3026	1.7393	0.0673	0.0052255	0.2996	0.2106	6.7522	1.0915	0.8615
15	0.0372	0.5727	0.0534	2.3026	1.7393	0.0673	0.0052255	0.2996	0.2106	6.7522	1.0915	0.8615
16	0.0391	0.6014	0.0534	2.3026	1.7393	0.0673	0.0052255	0.2996	0.2106	6.7522	1.0915	0.8615
17	0.0391	0.5727	0.0462	2.3026	1.7393	0.0673	0.0052255	0.2996	0.2106	6.7522	1.0915	0.8615
18	0.0391	0.5727	0.0534	2.1874	1.7393	0.0673	0.0052255	0.2996	0.2106	6.7522	1.0915	0.8615
19	0.0391	0.5727	0.0534	2.3026	1.6918	0.0673	0.0052255	0.2996	0.2106	6.7522	1.0915	0.8615
20	0.0391	0.5727	0.0534	2.3026	1.7393	0.0588	0.0052255	0.2996	0.2106	6.7522	1.0915	0.8615
21	0.0391	0.5727	0.0534	2.3026	1.7393	0.0673	0.0067956	0.2996	0.2106	6.7522	1.0915	0.8615
22	0.0391	0.5727	0.0534	2.3026	1.7393	0.0673	0.0052255	0.2846	0.2106	6.7522	1.0915	0.8615
23	0.0391	0.5727	0.0534	2.3026	1.7393	0.0673	0.0052255	0.2996	0.2211	6.7522	1.0915	0.8615
24	0.0391	0.5727	0.0534	2.3026	1.7393	0.0673	0.0052255	0.2996	0.2106	7.0898	1.0915	0.8615
25	0.0391	0.5727	0.0534	2.3026	1.7393	0.0673	0.0052255	0.2996	0.2106	6.7522	1.1461	0.8615
26	0.0391	0.5727	0.0534	2.3026	1.7393	0.0673	0.0052255	0.2996	0.2106	6.7522	1.0915	0.8185
27	0.0969	0.6189	4.1252	1.4320	0.0067	0.0009	0.0099125	0.4106	0.1182	5.9571	2.6737	0.9521
28	0.1018	0.6189	4.1252	1.4320	0.0067	0.0009	0.0099125	0.4106	0.1182	5.9571	2.6737	0.9521
29	0.0969	0.6498	4.1252	1.4320	0.0067	0.0009	0.0099125	0.4106	0.1182	5.9571	2.6737	0.9521
30	0.0969	0.6189	4.4281	1.4320	0.0067	0.0009	0.0099125	0.4106	0.1182	5.9571	2.6737	0.9521
31	0.0969	0.6189	4.1252	1.3604	0.0067	0.0009	0.0099125	0.4106	0.1182	5.9571	2.6737	0.9521
32	0.0969	0.6189	4.1252	1.4320	0.0086	0.0009	0.0099125	0.4106	0.1182	5.9571	2.6737	0.9521
33	0.0969	0.6189	4.1252	1.4320	0.0067	0.0006	0.0099125	0.4106	0.1182	5.9571	2.6737	0.9521
34	0.0969	0.6189	4.1252	1.4320	0.0067	0.0009	0.0124846	0.4106	0.1182	5.9571	2.6737	0.9521
35	0.0969	0.6189	4.1252	1.4320	0.0067	0.0009	0.0099125	0.3901	0.1182	5.9571	2.6737	0.9521
36	0.0969	0.6189	4.1252	1.4320	0.0067	0.0009	0.0099125	0.4106	0.1241	5.9571	2.6737	0.9521
37	0.0969	0.6189	4.1252	1.4320	0.0067	0.0009	0.0099125	0.4106	0.1182	5.6593	2.6737	0.9521
38	0.0969	0.6189	4.1252	1.4320	0.0067	0.0009	0.0099125	0.4106	0.1182	5.9571	2.5400	0.9521
39	0.0969	0.6189	4.1252	1.4320	0.0067	0.0009	0.0099125	0.4106	0.1182	5.9571	2.6737	0.9997
40	0.1951	0.6480	1.5601	4.3457	0.0112	0.0017	0.0003049	0.4810	0.1760	6.2900	2.8471	0.5797
41	0.1854	0.6480	1.5601	4.3457	0.0112	0.0017	0.0003049	0.4810	0.1760	6.2900	2.8471	0.5797
42	0.1951	0.6804	1.5601	4.3457	0.0112	0.0017	0.0003049	0.4810	0.1760	6.2900	2.8471	0.5797
43	0.1951	0.6480	1.5258	4.3457	0.0112	0.0017	0.0003049	0.4810	0.1760	6.2900	2.8471	0.5797
44	0.1951	0.6480	1.5601	4.1284	0.0112	0.0017	0.0003049	0.4810	0.1760	6.2900	2.8471	0.5797
45	0.1951	0.6480	1.5601	4.3457	0.0140	0.0017	0.0003049	0.4810	0.1760	6.2900	2.8471	0.5797
46	0.1951	0.6480	1.5601	4.3457	0.0112	0.0023	0.0003049	0.4810	0.1760	6.2900	2.8471	0.5797
47	0.1951	0.6480	1.5601	4.3457	0.0112	0.0017	0.0004571	0.4810	0.1760	6.2900	2.8471	0.5797
48	0.1951	0.6480	1.5601	4.3457	0.0112	0.0017	0.0003049	0.4570	0.1760	6.2900	2.8471	0.5797
49	0.1951	0.6480	1.5601	4.3457	0.0112	0.0017	0.0003049	0.4810	0.1848	6.2900	2.8471	0.5797
50	0.1951	0.6480	1.5601	4.3457	0.0112	0.0017	0.0003049	0.4810	0.1760	5.9755	2.8471	0.5797
51	0.1951	0.6480	1.5601	4.3457	0.0112	0.0017	0.0003049	0.4810	0.1760	6.2900	2.7047	0.5797
52	0.1951	0.6480	1.5601	4.3457	0.0112	0.0017	0.0003049	0.4810	0.1760	6.2900	2.8471	0.6087
53	0.1089	0.5091	11.043	3.6476	0.0053	0.0215	0.0000004	0.4492	0.1730	7.4643	1.8986	0.7610
54	0.1035	0.5091	11.043	3.6476	0.0053	0.0215	0.0000004	0.4492	0.1730	7.4643	1.8986	0.7610
55	0.1089	0.5345	11.043	3.6476	0.0053	0.0215	0.0000004	0.4492	0.1730	7.4643	1.8986	0.7610
56	0.1089	0.5091	12.452	3.6476	0.0053	0.0215	0.0000004	0.4492	0.1730	7.4643	1.8986	0.7610
57	0.1089	0.5091	11.043	3.8300	0.0053	0.0215	0.0000004	0.4492	0.1730	7.4643	1.8986	0.7610
